codEle,alias,suceso,autonomia,provincia,poblacion,descripcion,causa,tipo,estado,carretera,sentido,hora,horaFin,fecha,fechaFin,lng,lat,pkIni,pkFinal,icono,nivel,precision,_date
16751543,OBRAS / MA-20 (6.35 - 6.35),OBRAS,Andalucía,MÁLAGA,MALAGA, OBRA / MANTENIMIENTO VIA por OBRAS en: - La carretera MA-20 en el km 6.35 en MALAGA (MÁLAGA) sentido CRECIENTE DE LA KILOMETRACIÓN,OBRAS,Incidencia,1,MA-20,CRECIENTE DE LA KILOMETRACIÓN,08:00,13:00,21/10/2024,25/10/2024,-4.4603167,36.69374,6.35,6.35,INC_RMT_RCW_NAP_CAC.png,NO APLICA,1,2024-10-21T07:00:00+01:00
16757790,OBRAS / A-7000 (26.3 - 25.9),OBRAS,Andalucía,MÁLAGA,MALAGA, OBRA / MANTENIMIENTO VIA por OBRAS en: - La carretera A-7000 a la altura de MALAGA (MÁLAGA) desde el km 26.3 al km 25.9 sentido DECRECIENTE DE LA KILOMETRACIÓN Advertencia: CARRIL DERECHO CERRADO,OBRAS,Incidencia,1,A-7000,DECRECIENTE DE LA KILOMETRACIÓN,08:30,14:00,22/10/2024,22/10/2024,-4.4073043,36.762695,26.3,25.9,INC_RMT_RCW_NAP_CAC.png,NO APLICA,1,2024-10-22T07:30:00+01:00
16762411,OBRAS / A-7000 (26.3 - 25.9),OBRAS,Andalucía,MÁLAGA,MALAGA, OBRA / MANTENIMIENTO VIA por OBRAS en: - La carretera A-7000 a la altura de MALAGA (MÁLAGA) desde el km 26.3 al km 25.9 sentido DECRECIENTE DE LA KILOMETRACIÓN Advertencia: CARRIL DERECHO CERRADO,OBRAS,Incidencia,1,A-7000,DECRECIENTE DE LA KILOMETRACIÓN,10:46,14:00,22/10/2024,22/10/2024,-4.4073043,36.762695,26.3,25.9,INC_RMT_RCW_NAP_CAC.png,NO APLICA,1,2024-10-22T09:46:00+01:00
16762652,OTROS / A-7 (974.044 - 974.044),OTROS,Andalucía,MÁLAGA,MALAGA, OBSTÁCULO FIJO en: - La carretera A-7 en el km 974.044 en MALAGA (MÁLAGA) sentido CRECIENTE DE LA KILOMETRACIÓN,,Incidencia,1,A-7,CRECIENTE DE LA KILOMETRACIÓN,10:58,?,22/10/2024,?,-4.3227577,36.73281,974.044,974.044,INC_OHZ_VST_NAP_CAC.png,NO APLICA,1,2024-10-22T09:58:00+01:00
